Individual,branches_with_flowers,flowers_per_branch,leaf_area,soil_moisture,canopy_cover,dewberry_cover
GAN1,5,2,44.509,41.8,31.5,65
GAN2,0,2,38.262,43.3,28.2,75
GAN3,0,3,31.165,41.7,22.5,80
GAN4,0,1,43.082,39.9,11.5,90
GAN5,0,1,45.087,47.4,9.8,90
GAN6,0,0,39.485,48.5,8.2,90
GAN7,0,0,41.824,48.5,9.4,95
GAN8,1,2,27.433,47.6,12.6,95
GAN9,0,0,47.793,45.5,31.6,95
GAN10,0,0,55.338,19.6,50.2,100
GAN11,1,1,57.047,27.9,32.5,100
GAN12,0,0,52.059,24.5,2.6,95
GAN13,0,0,47.053,25.5,22.6,85
GAN14,0,0,48.974,23.5,21.5,85
GAN15,0,0,46.972,21.2,12.6,95
GAN16,0,0,33.328,26.9,11.3,95
GAN17,0,0,57.748,26.3,12.5,75
GAN18,0,0,62.178,29.3,6.2,75
GAN19,0,0,33.619,29.2,7.5,100
GAN20,0,0,46.918,40.6,7.3,100
HON1,4,4,27.344,37,8.2,70
HON2,12,5,30.095,29.9,11.6,75
HON3,31,3,29.679,22.5,14.3,80
HON4,24,3,22.157,40.2,25.2,75
HON5,3,2,45.276,32.5,24.1,70
HON6,12,2,41.056,38.4,25.3,65
HON7,27,3,26.438,32.4,25.9,65
HON8,11,2,32.742,23.5,12.3,60
HON9,4,1,41.37,38.9,25.4,60
HON10,8,3,22.756,34.5,12.8,65
HON11,8,3,30.344,30.5,29.3,75
HON12,13,3,32.49,28.6,22.6,80
HON13,9,4,70.165,30.7,14.2,80
HON14,13,5,63.653,25.7,22.8,85
HON15,13,4,26.694,25.8,22.5,70
HON16,13,3,28.506,21.4,21.5,70
HON17,12,1,25.671,27.1,18.6,75
HON18,12,2,45.023,26.7,29.5,70
HON19,11,1,53.631,29.1,24.6,75
HON20,8,1,29.515,28.5,13.1,80
BROCK1,9,2,51.92,32.7,14.2,80
BROCK2,5,2,38.268,19.2,12.4,90
BROCK3,13,3,42.427,6.1,15.4,90
BROCK4,6,1,63.644,49,26.6,75
BROCK5,11,1,34.141,44.5,28.6,80
BROCK6,3,4,25.29,48.3,20.2,85
BROCK7,9,3,24.946,47.2,20.3,85
BROCK8,4,5,38.476,43,32.6,90
BROCK9,4,4,47.471,42.5,30.5,85
BROCK10,9,2,34.162,20.7,15.2,75
BROCK11,2,2,20.589,21.5,16.5,90
BROCK12,4,3,25.843,27.9,18.3,90
BROCK13,6,3,55.021,38.8,21.7,75
BROCK14,9,2,79.772,41,30.3,80
BROCK15,3,1,73.795,43.6,40.6,80
BROCK16,2,2,54.603,27.9,15.6,80
BROCK17,8,2,24.933,21.4,25.6,95
BROCK18,9,3,43.176,31.2,28.1,75
BROCK19,4,2,24.118,29.4,28.6,50
